Job Link,Title,Posted,Summary,Hourly Rate,Hours Based,Invites Sent,Member Since,Location,Spent,Hires,Hires1,Source File
https://www.upwork.com/jobs/Outbound-Sales-amp-span-class-highlight-Lead-span-span-class-highlight-Generation-span-Specialist-for-High-Risk-Payment-Solutions-Hour-Commission_~021970744160140895392/?referrer_url_path=/nx/search/jobs/,Outbound Sales & Lead Generation Specialist for High-Risk Payment Solutions (Hour + Commission),Posted 2 hours ago,"We are seeking an experienced Outbound Sales & Lead Generation Specialist to join our team, focusing on high-risk payment solutions. The ideal candidate will have a proven track record in lead generation and closing deals within the payment processing sector. Your role will involve identifying potential clients, reaching out via cold calls and emails, and nurturing relationships to convert leads into sales. Strong communication skills and a strategic mindset are essential for success. Join us in helping businesses navigate high-risk payments effectively! More than 30 hrs/week Hourly 1-3 months Duration Intermediate Experience Level",$10.00,Hourly,0,"Nov 13, 2017 United States City Of Industry 6",Industry,$86K,72,,job_1.txt
https://www.upwork.com/jobs/span-class-highlight-Lead-span-span-class-highlight-Generation-span-amp-Meeting-Setter_~021970737956178076832/?referrer_url_path=/nx/search/jobs/,Lead Generation & Meeting Setter,Posted 2 hours ago,"We’re a Los Angeles–based accounting firm. Seeking a Lead Generation & Meeting Setter to find qualified leads and book discovery calls for accounting services via LinkedIn Sales Navigator, Upwork, Apollo, etc. Responsibilities • Research and build target prospect lists • Generate leads via Sales Navigator, Upwork, Apollo, etc. • Run outreach via DM, email, and calls • Schedule meetings using our calendar and send reminders • Inform our team with a brief recap of needs, budget, timing, and next steps Qualifications • Proven lead generation + meeting booking experience (B2B) • Hands-on with Sales Navigator, Upwork, Apollo (or similar) • Clear English communication • Nice-to-have: Turkish, and/or accounting industry experience Compensation Monthly retainer + performance-based commission on collected client fees",$100.00,,0,"Aug 25, 2025 United States Los Angeles 2",Angeles,$23,2,,job_2.txt
https://www.upwork.com/jobs/Appointment-Setter-for-Cold-Outreach-Social-Media_~021970737906042535281/?referrer_url_path=/nx/search/jobs/,Appointment Setter for Cold Outreach in Social Media,Posted 2 hours ago,"We are seeking motivated appointment setters to join our team for cold outreach via social media. You will utilize our proven process that effectively books appointments with potential clients. Ideal candidates should be comfortable with various social media platforms and possess strong communication skills. If you're results-driven and eager to work in a dynamic environment, we want to hear from you!","$2,500.00",,10,"Jan 21, 2023 United States Florence 5",Florence,$2.3K,11,,job_3.txt
https://www.upwork.com/jobs/span-class-highlight-Lead-span-span-class-highlight-Generation-span-Specialist-for-HVAC-and-Home-Services_~021970690161431176487/?referrer_url_path=/nx/search/jobs/,Lead Generation Specialist for HVAC and Home Services,Posted 5 hours ago,"We are seeking a skilled lead generation specialist to build verified contact lists for HVAC and home service companies across the USA. The ideal candidate will have experience in data entry and lead generation, with a focus on accuracy and detail. Deliverables Build verified contact lists for HVAC companies Generate leads for home service companies Ensure data accuracy and completeness Less than 30 hrs/week Hourly 6+ months Duration Intermediate Experience Level",$6.00,Hourly,2,"Sep 20, 2025 United States Phoenix 4",Phoenix,,,,job_4.txt
https://www.upwork.com/jobs/span-class-highlight-Lead-span-Gen_~021970726275054019744/?referrer_url_path=/nx/search/jobs/,Lead Gen,Posted 3 hours ago,"Sales Development Representative (SDR) for IT/MSP Company As our SDR, your mission is to be the first point of contact with potential clients. You’ll engage leads, qualify opportunities, and schedule discovery calls with our account executives. This role does not involve closing deals—you’ll be focused on opening the door and making sure it’s the right fit. Responsibilities Respond to inbound leads within minutes during business hours Perform outbound prospecting to targeted industries (dentists, medical offices, local businesses, etc.) Research prospects to confirm they match our ideal client profile Use email, phone calls, and LinkedIn outreach to connect with decision makers Qualify leads based on needs, budget, and decision-making process Set up and schedule appointments for our internal sales team Maintain accurate records in CRM (HubSpot, Zoho, or equivalent) Qualifications Proven experience as an SDR, BDR, or similar sales role (preferably in IT, SaaS, or professional services) Excellent English communication skills (both written and spoken) Strong organizational skills and attention to detail Ability to follow scripts while keeping conversations natural and engaging Familiarity with CRM tools and lead tracking systems Self-motivated and able to work independently with clear goals Preferred (but not required) Experience working with MSPs (Managed Service Providers) or IT companies Understanding of common IT solutions (cloud services, network security, backup/disaster recovery, etc.) Background in B2B sales What We Offer Competitive hourly rate + performance-based bonuses Long-term work opportunity with consistent hours Training and support from our leadership team Opportunity to grow into higher-level sales roles as we expand How to Apply Please include the following in your proposal: A short introduction about yourself and your SDR/BDR experience An example of how you’ve successfully qualified and scheduled leads before Any tools you’ve used (CRM, email outreach, dialers, LinkedIn, etc.) Your availability (hours per week and time zone) More than 30 hrs/week Hourly 3-6 months Duration Expert Experience Level",$6.00,Respond to inbound leads within minutes during business hours,11,"Jan 13, 2022 United States Savannah 10",Savannah,$4.2K,27,,job_5.txt
https://www.upwork.com/jobs/span-class-highlight-Lead-span-span-class-highlight-Generation-span-Expert-for-Educational-Institutions-the-USA_~021970708754224643441/?referrer_url_path=/nx/search/jobs/,Lead Generation Expert for Educational Institutions in the USA,Posted 4 hours ago,"We are seeking a lead generation expert to help us gather verified contact information for schools, colleges, and educational institutes across the United States. The ideal candidate will have experience in sourcing and verifying educational contacts, ensuring accuracy and reliability. You should be well-versed in various lead generation tools and techniques to effectively compile a robust database. If you have a keen eye for detail and a passion for education, we want to hear from you! Not Sure Hourly 1-3 months Duration Intermediate Experience Level",$4.00,Hourly,3,"Sep 20, 2025 United States Orlando 4",Orlando,,,,job_6.txt
https://www.upwork.com/jobs/Remote-span-class-highlight-Lead-span-span-class-highlight-Generation-span-Specialist-for-Cleaning-Business-Toronto-Canada_~021970706966872863658/?referrer_url_path=/nx/search/jobs/,"Remote Lead Generation Specialist for Cleaning Business (Toronto, Canada)",Posted 4 hours ago,"We are looking for a reliable and detail-oriented freelancer to help grow HostReadyCleaning, a Toronto-based cleaning company specializing in: • Airbnb / Short-Term Rental Cleaning • Residential Cleaning • Commercial Cleaning Your job will be to: • Find potential clients in Toronto (Airbnb hosts, property managers, small businesses, residential homeowners). • Collect their contact information (emails, phone numbers, Instagram handles). • Send outreach messages using our templates (DM, email, or cold calling if comfortable). • Book appointments for us to speak with them. What we provide: • Message templates and scripts. • A clear profile of our target clients. • Tracking sheet to log outreach + responses. Requirements: • Good English writing skills. • Organized, reliable, and consistent. • Previous experience in lead generation or virtual assistant work is a plus. Pay:",$5,,8,"Sep 24, 2025 Canada 6",Canada,,,,job_7.txt
https://www.upwork.com/jobs/span-class-highlight-Lead-span-span-class-highlight-Generation-span-Expert-Needed-for-Construction-Industry-Contacts_~021970699796552770855/?referrer_url_path=/nx/search/jobs/,Lead Generation Expert Needed for Construction Industry Contacts,Posted 5 hours ago,"We are seeking a skilled lead generation expert to collect and verify contact information for construction companies and contractors throughout the USA. The ideal candidate will have experience in the construction industry and a proven track record of successful lead generation. Your primary responsibility will be to research and compile a list of verified contacts, ensuring accuracy and relevance. Strong attention to detail and the ability to work independently are essential for this role. Less than 30 hrs/week Hourly 1-3 months Duration Intermediate Experience Level",$8.00,Hourly,6,"Sep 20, 2025 United States Miami 4",Miami,,,,job_8.txt
https://www.upwork.com/jobs/span-class-highlight-Lead-span-span-class-highlight-Generation-span-Expert-for-USA-Based-Commerce-Businesses_~021970687994974712746/?referrer_url_path=/nx/search/jobs/,Lead Generation Expert for USA-Based E-Commerce Businesses,Posted 5 hours ago,"We are seeking a skilled lead generation expert to gather accurate and verified contact information for e-commerce businesses located in the USA. The ideal candidate will utilize various tools and techniques to identify potential leads and ensure the data collected is reliable and up-to-date. A strong understanding of e-commerce and lead generation strategies is essential. If you have experience in this field and can deliver quality results, we want to hear from you! Less than 30 hrs/week Hourly 1-3 months Duration Intermediate Experience Level",$6.00,Hourly,2,"Sep 20, 2025 United States Chicago 4",Chicago,,,,job_9.txt
https://www.upwork.com/jobs/Sales-Development-Representative-India_~021970683339725091754/?referrer_url_path=/nx/search/jobs/,Sales Development Representative India,Posted 6 hours ago,"We’re seeking a motivated B2B Lead Generation Specialist based in India fluent in English to qualify leads, book client meetings, and manage prospect data. You’ll make outbound calls, build relationships, and research customer information for global IT brands. Ideal candidates have telemarketing or sales experience, confidence using new software, and no hesitation making cold calls. The appropriate candidate must have their own device and begin on a 1-3 day paid trial basis. Based on results this will lead to an on-going contract Deliverables At least 20 calls per hour. At least 1 qualified lead per day. More than 30 hrs/week Hourly 6+ months Duration Intermediate Experience Level",$5.00,At least 20 calls per hour.,1,"Aug 8, 2024 AUS Sydney 7",Sydney,$7K,8,,job_10.txt
https://www.upwork.com/jobs/Sales-Representative-Appointment-Setter-Websites-for-Local-Businesses_~021970682422980260778/?referrer_url_path=/nx/search/jobs/,Sales Representative / Appointment Setter – Websites for Local Businesses,Posted 6 hours ago,"We’re Rikosa, a US-based startup helping small businesses look professional online with fast, affordable websites. Our package includes a 48-hour website launch, Google review automation, missed-call text-back, SEO-ready mobile design, and business email setup. We provide warm leads of local businesses with no website, along with scripts and training so you can focus on closing deals. This is a commission-based role with weekly payouts and no cap on earnings. Strong communication skills, a persuasive approach, and availability during U.S. business hours are key. Apply now and start turning leads into income. More than 30 hrs/week Hourly 6+ months Duration Entry level Experience Level",$4.00,"We’re Rikosa, a US-based startup helping small businesses look professional online with fast, affordable websites. Our package includes a 48-hour website launch, Google review automation, missed-call text-back, SEO-ready mobile design, and business email setup.",0,"Mar 3, 2022 United States Houston 12",Houston,$80,4,,job_11.txt
https://www.upwork.com/jobs/Freelance-Sales-Consultant-for-Vehicle-Titling-Services_~021970679878463257969/?referrer_url_path=/nx/search/jobs/,Freelance Sales Consultant for Vehicle Titling Services,Posted 6 hours ago,"Join Premier Title Consultants as a freelance sales consultant to expand our reach nationwide. This commission-only role is ideal for a self-starter with proven B2B sales experience, particularly in finance, auto, or legal industries. You'll prospect, pitch, and manage your own pipeline to drive new client acquisition and close deals independently. Deliverables Prospect and pitch to banks, lenders, dealers, and law firms Build and manage your own pipeline of opportunities Drive new client acquisition and close deals independently Represent a company known for reliability, compliance, and expertise",$300.00,,0,"May 23, 2025 United States 4",States,,,,job_12.txt
https://www.upwork.com/jobs/span-class-highlight-Lead-span-span-class-highlight-Generation-span-amp-Outreach-Specialist-full-cycle_~021970661177110297969/?referrer_url_path=/nx/search/jobs/,Lead Generation & Outreach Specialist (full-cycle),Posted 7 hours ago,"Ideal Client Profile (ICP) & Research Define the exact types of organizations our clients need and the right decision-maker titles (CIO, Managing Partner, Operating Partner, CFO, Founder). Data Sourcing Build the prospect list and keep it clean (direct emails, verified contacts). Multi-Channel Outreach Write and send personalized emails and/or LinkedIn messages, follow up with sequences, manage replies. Qualification & Handoff Engage replies, ask the agreed qualifying questions, and book warm, qualified meetings on client's calendar. Full-Cycle Outbound Lead Generation & Prospecting Specialist We’re seeking an experienced outbound sales/lead generation professional who can own the entire prospecting process—from researching ideal prospects through to booking qualified meetings with decision-makers. This is not a simple list-building job: you’ll be responsible for identifying the right targets, reaching out through email and/or LinkedIn, engaging them, and handing off warm, qualified opportunities. Define and refine the Ideal Client Profile (ICP) in collaboration with us. • Research and build verified prospect lists using tools such as LinkedIn Sales Navigator, Apollo, ZoomInfo, or similar. • Craft and send personalized email and/or LinkedIn outreach sequences, including follow-ups. • Handle replies, engage prospects, and qualify them against agreed criteria (budget, authority, need, timing). • Book qualified meetings directly on our calendar and maintain accurate tracking of all outreach activity. • Monitor metrics (open rates, reply rates, booked calls) and continuously optimize messaging. ________________________________________ Skills & Experience • Proven success running full-cycle outbound campaigns (from list building to booked meetings). • Strong copywriting and communication skills—able to write concise, compelling outreach emails. • Hands-on experience with sales automation/CRM tools (e.g., Go High Level, HubSpot, Outreach, SalesLoft, Lemlist, etc.). • Familiarity with data enrichment and email verification tools. • Comfortable engaging senior decision-makers and qualifying leads. • Process-driven and self-managed, with a track record of meeting or exceeding KPIs. ________________________________________ Deliverables & KPIs • X qualified meetings per month (to be agreed). • Detailed weekly report covering outreach activity and pipeline status. • Continuous improvement of messaging and targeting based on results. Less than 30 hrs/week Hourly 3-6 months Duration Intermediate Experience Level",$4.00,Hourly,0,"Jul 6, 2023 United States Canton 5",Canton,$73K,75,,job_13.txt
https://www.upwork.com/jobs/span-class-highlight-B2B-span-Prospecting-Specialist-List-Building-amp-Campaign-Management-for-Outreach-Tech-Executives_~021970658346876167463/?referrer_url_path=/nx/search/jobs/,,,,$200,,,,,,,,job_14.txt
https://www.upwork.com/jobs/span-class-highlight-B2B-span-SaaS-Cold-Caller-for-Tech-Companies_~021970650928739515761/?referrer_url_path=/nx/search/jobs/,B2B SaaS Cold Caller for Tech Companies,Posted 8 hours ago,"**Job Opening: Cold Caller for B2B SaaS Sales** Hey there! We’re on the lookout for a talented cold caller to help us get the word out about our awesome B2B SaaS product. You'll be chatting with tech companies and founders, explaining how our product can make their lives easier, and helping us find new leads. If you’ve got a knack for communication, can persuade people with ease, and know how to tackle objections like a pro, we want to meet you! If you’re into tech and sales, let’s connect! About you: You should have EXCELLENT spoken english You should have several years of experience","$1,000.00",,9,"Sep 23, 2025 United States 4",States,,,,job_15.txt
https://www.upwork.com/jobs/span-class-highlight-Lead-span-span-class-highlight-Generation-span-amp-Conversion-Agency-Needed-for-span-class-highlight-B2B-span-Service-Business-Performance-Retainer_~021970644610569993585/?referrer_url_path=/nx/search/jobs/,🚀 Lead Generation & Conversion Agency Needed for B2B Service Business (Performance + Retainer),Posted 8 hours ago,🚀 Lead Generation & Conversion Agency Needed for B2B Service Business,$1K,,7,"Jun 1, 2024 United States Redmond 2",Redmond,$19K,43,,job_16.txt
https://www.upwork.com/jobs/Cold-Calling-Specialist-for-Commercial-Cleaning-Services_~021970640886066816161/?referrer_url_path=/nx/search/jobs/,,,,"$5,000",,,,,,,,job_17.txt
https://www.upwork.com/jobs/Sales-Business-Development-span-class-highlight-Lead-span-for-Contract-Staffing-Firm_~021970639043577668903/?referrer_url_path=/nx/search/jobs/,Sales Business Development Lead for Contract Staffing Firm,Posted 9 hours ago,"We are seeking an experienced Sales Business Development Lead to join our contract staffing firm. The ideal candidate will play a crucial role in driving sales growth and establishing strategic partnerships. Responsibilities include identifying new business opportunities, developing relationships with clients, and creating effective sales strategies. If you are results-driven and have a passion for staffing solutions, we would love to hear from you! More than 30 hrs/week Hourly 1-3 months Duration Intermediate Experience Level",$20.00,Hourly,0,"Sep 24, 2020 United States Austin 2",Austin,$19K,23,,job_18.txt
https://www.upwork.com/jobs/Manual-Prospect-List-span-class-highlight-Generation-span-Canada-Hyperlocal-City-Level-span-class-highlight-B2B-span_~021970631670356141351/?referrer_url_path=/nx/search/jobs/,"Manual Prospect List Generation - Canada, Hyperlocal City Level B2B",Posted 9 hours ago,"Seeking genuine manual effort to help filter and validate leads instead of machine generated lists . We are a local moving and delivery company located  in several  big cities seeking commercial delivery contracts  . We do not see this campaign as a numbers game . We want to target specific businesses and specific individuals . i don't want to do bulk mails in the hope of one hitting . We are going to call every lead and try to make personal contact . i need you to get a firm grip of what we do and who could use our services . We do blanket wrap moving , not trucking or shipping ,  We specialize in the smaller and local moves and deliveries rather than house moves or long distance which is the target market of most big moving companies . We want to target organizations and individuals that arrange social housing for people with physical and mental health issues , old age , poverty , students , We also target businesses that have multiple offices like franchises that are always shifting things around . we want to target retailers , manufactures and repair  people who work on furniture , cabinet , institutional equipment for doctors dentist optometrists , all large organizations like schools , hospitals , churches , govt offices This will be on a city level in Vancouver , Calgary and Edmonton , Individuals only please. No agencies  and no AI response  Be real. PLEASE NOTE  I am tired of vetting reviews to see if applicant is trustworthy. If you have cheap fake paid reviews do not apply for this job . They are ""Inappropriate"". Less than 30 hrs/week Hourly < 1 month Duration Intermediate Experience Level",$5.00,Hourly,0,"Aug 4, 2010 Canada Sechelt 3",Sechelt,$35K,90,,job_19.txt
https://www.upwork.com/jobs/span-class-highlight-Lead-span-span-class-highlight-Generation-span-Expert-Business-Management-Platform-amp-Services_~021970631151930287264/?referrer_url_path=/nx/search/jobs/,Lead Generation Expert – Business Management Platform & Services,Posted 9 hours ago,"Job Overview: We are looking for an experienced Lead Generation Expert to help us identify and connect with qualified leads who are actively searching for a business management platform or considering switching from their current software provider. The ideal candidate will have proven expertise in researching, prospecting, and generating high-quality leads that can be nurtured into paying clients. Responsibilities: Research and identify potential leads that fit our target audience (business owners, entrepreneurs, and organizations seeking business management solutions). Generate leads through multiple channels (LinkedIn, online directories, industry groups, social platforms, etc.). Qualify leads by assessing their needs, interest level, and readiness to switch platforms or purchase services. Maintain an organized list/database of leads with contact information and relevant notes. Provide regular reports on lead generation progress and results. Collaborate with our team to refine outreach strategies and target industries. Requirements: Proven experience in lead generation, preferably in SWaS, business management, or related software industries. Strong research skills and ability to find accurate contact details and contacts actively seeking our services. Familiarity with CRM systems and lead tracking tools (experience with GoHighLevel is a plus). Excellent written and verbal communication skills. Results-driven with the ability to consistently deliver qualified leads. Preferred Qualifications: Prior experience generating leads for SaaS platforms or business service companies. Understanding of competitors in the CRM/business management platform space (e.g., HubSpot, Zoho, Monday.com, etc.). Ability to recommend outreach strategies that maximize conversions. What We Offer: Competitive pay (hourly or per qualified lead). Long-term opportunity for high performers. Ongoing collaboration with a growing business management software company. How to Apply: Please share: A brief overview of your lead generation experience. Your suggested approach for finding qualified leads in this industry. Examples of similar projects you’ve successfully completed. Less than 30 hrs/week Hourly 6+ months Duration Intermediate Experience Level",$10.00,Competitive pay (hourly or per qualified lead).,3,"Sep 19, 2025 USA Louisburg 4",Louisburg,$100,2,,job_20.txt
